transcript,audio_file
Kick the ball straight and follow through.,william_14_2.wav
Kick the ball straight and follow through.,william_14_3.wav
Help the woman get back to her feet.,william_15_1.wav
Help the woman get back to her feet.,william_15_2.wav
Help the woman get back to her feet.,william_15_3.wav
A pot of tea helps to pass the evening.,william_16_1.wav
A pot of tea helps to pass the evening.,william_16_2.wav
A pot of tea helps to pass the evening.,william_16_3.wav
Smoky fires lack flame and heat.,william_17_1.wav
Smoky fires lack flame and heat.,william_17_2.wav
Smoky fires lack flame and heat.,william_17_3.wav
The soft cushion broke the man's fall.,william_18_1.wav
The soft cushion broke the man's fall.,william_18_2.wav
The soft cushion broke the man's fall.,william_18_3.wav
The salt breeze came across from the sea.,william_19_1.wav
The salt breeze came across from the sea.,william_19_2.wav
The salt breeze came across from the sea.,william_19_3.wav
The small pup gnawed a hole in the sock.,william_21_1.wav
The small pup gnawed a hole in the sock.,william_21_2.wav
The small pup gnawed a hole in the sock.,william_21_3.wav
The fish twisted and turned on the bent hook.,william_22_1.wav
The fish twisted and turned on the bent hook.,william_22_2.wav
The fish twisted and turned on the bent hook.,william_22_3.wav
Press the pants and sew a button on the vest.,william_23_1.wav
Press the pants and sew a button on the vest.,william_23_2.wav
Press the pants and sew a button on the vest.,william_23_3.wav
The swan dive was far short of perfect.,william_24_1.wav
The swan dive was far short of perfect.,william_24_2.wav
The swan dive was far short of perfect.,william_24_3.wav
The beauty of the view stunned the young boy.,william_25_1.wav
The beauty of the view stunned the young boy.,william_25_2.wav
The beauty of the view stunned the young boy.,william_25_3.wav
Two blue fish swam in the tank.,william_26_1.wav
Two blue fish swam in the tank.,william_26_2.wav
Two blue fish swam in the tank.,william_26_3.wav
Her purse was full of useless trash.,william_27_1.wav
Her purse was full of useless trash.,william_27_2.wav
Her purse was full of useless trash.,william_27_3.wav
The colt reared and threw the tall rider.,william_28_1.wav
The colt reared and threw the tall rider.,william_28_2.wav
The colt reared and threw the tall rider.,william_28_3.wav
"It snowed, rained, and hailed the same morning.",william_29_1.wav
"It snowed, rained, and hailed the same morning.",william_29_2.wav
"It snowed, rained, and hailed the same morning.",william_29_3.wav
Hoist the load to your left shoulder.,william_31_1.wav
Hoist the load to your left shoulder.,william_31_2.wav
Hoist the load to your left shoulder.,william_31_3.wav
Take the winding path to reach the lake.,william_32_1.wav
Take the winding path to reach the lake.,william_32_2.wav
Take the winding path to reach the lake.,william_32_3.wav
Note closely the size of the gas tank.,william_33_1.wav
Note closely the size of the gas tank.,william_33_2.wav
Note closely the size of the gas tank.,william_33_3.wav
Wipe the grease off his dirty face.,william_34_1.wav
Wipe the grease off his dirty face.,william_34_2.wav
Wipe the grease off his dirty face.,william_34_3.wav
Mend the coat before you go out.,william_35_1.wav
Mend the coat before you go out.,william_35_2.wav
Mend the coat before you go out.,william_35_3.wav
The wrist was badly strained and hung limp.,william_36_1.wav
The wrist was badly strained and hung limp.,william_36_2.wav
The wrist was badly strained and hung limp.,william_36_3.wav
The stray cat gave birth to kittens.,william_37_1.wav
The stray cat gave birth to kittens.,william_37_2.wav
The stray cat gave birth to kittens.,william_37_3.wav
The young girl gave no clear response.,william_38_1.wav
The young girl gave no clear response.,william_38_2.wav
The young girl gave no clear response.,william_38_3.wav
The meal was cooked before the bell rang.,william_39_1.wav
The meal was cooked before the bell rang.,william_39_2.wav
The meal was cooked before the bell rang.,william_39_3.wav
A king ruled the state in the early days.,william_41_1.wav
A king ruled the state in the early days.,william_41_2.wav
A king ruled the state in the early days.,william_41_3.wav
The ship was torn apart on the sharp reef.,william_42_1.wav
The ship was torn apart on the sharp reef.,william_42_2.wav
The ship was torn apart on the sharp reef.,william_42_3.wav
Sickness kept him home the third week.,william_43_1.wav
Sickness kept him home the third week.,william_43_2.wav
Sickness kept him home the third week.,william_43_3.wav
The wide road shimmered in the hot sun.,william_44_1.wav
The wide road shimmered in the hot sun.,william_44_2.wav
The wide road shimmered in the hot sun.,william_44_3.wav
The lazy cow lay in the cool grass.,william_45_1.wav
The lazy cow lay in the cool grass.,william_45_2.wav
The lazy cow lay in the cool grass.,william_45_3.wav
Lift the square stone over the fence.,william_46_1.wav
Lift the square stone over the fence.,william_46_2.wav
Lift the square stone over the fence.,william_46_3.wav
The rope will bind the seven books at once.,william_47_1.wav
The rope will bind the seven books at once.,william_47_2.wav
The rope will bind the seven books at once.,william_47_3.wav
Hop over the fence and plunge in.,william_48_1.wav
Hop over the fence and plunge in.,william_48_2.wav
Hop over the fence and plunge in.,william_48_3.wav
The friendly gang left the drug store.,william_49_1.wav
The friendly gang left the drug store.,william_49_2.wav
The friendly gang left the drug store.,william_49_3.wav
The frosty air passed through the coat.,william_51_1.wav
The frosty air passed through the coat.,william_51_2.wav
The frosty air passed through the coat.,william_51_3.wav
The crooked maze failed to fool the mouse.,william_52_1.wav
The crooked maze failed to fool the mouse.,william_52_2.wav
The crooked maze failed to fool the mouse.,william_52_3.wav
Adding fast leads to wrong sums.,william_53_1.wav
Adding fast leads to wrong sums.,william_53_2.wav
Adding fast leads to wrong sums.,william_53_3.wav
The show was a flop from the very start.,william_54_1.wav
The show was a flop from the very start.,william_54_2.wav
The show was a flop from the very start.,william_54_3.wav
A saw is a tool used for making boards.,william_55_1.wav
A saw is a tool used for making boards.,william_55_2.wav
A saw is a tool used for making boards.,william_55_3.wav
The wagon moved on well oiled wheels.,william_56_1.wav
The wagon moved on well oiled wheels.,william_56_2.wav
The wagon moved on well oiled wheels.,william_56_3.wav
March the soldiers past the next hill.,william_57_1.wav
March the soldiers past the next hill.,william_57_2.wav
March the soldiers past the next hill.,william_57_3.wav
A cup of sugar makes sweet fudge.,william_58_1.wav
A cup of sugar makes sweet fudge.,william_58_2.wav
A cup of sugar makes sweet fudge.,william_58_3.wav
Place a rosebush near the porch steps.,william_59_1.wav
Place a rosebush near the porch steps.,william_59_2.wav
Place a rosebush near the porch steps.,william_59_3.wav
